id_solicitud,id_solicitante,id_oficio,descripcion_usuario,urgencia,id_barrio_servicio,fecha_creacion,estado,precio_estimado_mercado,flag_alerta
23,158,10,Goteo en tubo del lavamanos,ALTA,35,2025-09-26 06:33:00,ABIERTA,250499,False
24,132,3,"Puerta no abre, cerradura dañada",MEDIA,14,2025-06-19 10:17:00,ABIERTA,77597,True
25,71,8,El computador no enciende después de apagón,ALTA,13,2025-08-13 18:59:00,ABIERTA,343484,False
26,50,5,Da chispazos el tomacorriente de la caja,ALTA,12,2025-09-20 15:10:00,EN_PROCESO,299500,False
27,53,12,"Mudanza de apartamento, tercer piso sin ascensor",MEDIA,32,2025-07-14 09:38:00,CERRADA,178477,False
28,99,7,Se tapó el sanitario y huele fuerte,BAJA,13,2025-09-01 19:18:00,ABIERTA,154876,False
29,155,11,"Necesito pintar sala y comedor, humedad en pared",MEDIA,34,2025-08-11 17:15:00,ABIERTA,130893,False
30,19,4,"Necesito pintar sala y comedor, humedad en pared",MEDIA,43,2025-10-17 16:13:00,ABIERTA,116445,False
31,120,10,Goteo en tubo del lavamanos,ALTA,21,2025-09-05 09:35:00,EN_PROCESO,278930,False
32,72,12,La lavadora no exprime y hace ruido,BAJA,39,2025-07-14 12:12:00,ABIERTA,178304,False
33,13,8,El computador no enciende después de apagón,ALTA,32,2025-06-06 16:37:00,CANCELADA,338776,True
34,99,4,"Mudanza de apartamento, tercer piso sin ascensor",ALTA,37,2025-05-27 07:57:00,ABIERTA,112078,False
35,137,9,La lavadora no exprime y hace ruido,MEDIA,3,2025-07-10 16:48:00,EN_PROCESO,154438,False
36,89,7,La lavadora no exprime y hace ruido,BAJA,6,2025-07-09 20:31:00,CERRADA,155752,False
37,165,2,Se tapó el sanitario y huele fuerte,BAJA,24,2025-05-29 16:55:00,ABIERTA,73907,True
38,177,12,"Necesito pintar sala y comedor, humedad en pared",ALTA,28,2025-09-08 07:16:00,ABIERTA,150516,False
39,12,2,La lavadora no exprime y hace ruido,MEDIA,4,2025-07-02 11:59:00,ABIERTA,80352,False
40,36,10,La lavadora no exprime y hace ruido,ALTA,30,2025-10-04 09:33:00,ABIERTA,542500,False
41,136,4,El computador no enciende después de apagón,MEDIA,37,2025-06-20 14:49:00,EN_PROCESO,112078,False
42,76,12,Goteo en tubo del lavamanos,MEDIA,6,2025-10-18 08:31:00,EN_PROCESO,125999,False
43,16,4,Da chispazos el tomacorriente de la caja,BAJA,1,2025-07-20 22:32:00,ABIERTA,236500,False
44,81,5,Goteo en tubo del lavamanos,MEDIA,46,2025-07-26 20:55:00,EN_PROCESO,165807,False
45,159,9,"Mudanza de apartamento, tercer piso sin ascensor",MEDIA,13,2025-09-18 09:09:00,ABIERTA,169839,False
46,119,2,Se tapó el sanitario y huele fuerte,ALTA,48,2025-08-23 22:28:00,ABIERTA,94563,False
47,91,5,La lavadora no exprime y hace ruido,BAJA,8,2025-08-30 22:21:00,ABIERTA,134051,False
48,14,8,La lavadora no exprime y hace ruido,MEDIA,18,2025-06-12 12:25:00,ABIERTA,565792,False
49,46,10,Se tapó el sanitario y huele fuerte,BAJA,18,2025-10-06 09:14:00,EN_PROCESO,268451,True
50,30,1,"Mudanza de apartamento, tercer piso sin ascensor",BAJA,3,2025-06-20 18:25:00,ABIERTA,85889,False
51,101,2,"Puerta no abre, cerradura dañada",BAJA,15,2025-06-15 15:45:00,CERRADA,76825,False
52,153,5,Goteo en tubo del lavamanos,ALTA,47,2025-06-06 08:10:00,ABIERTA,165807,False
53,48,6,Se tapó el sanitario y huele fuerte,ALTA,30,2025-06-08 08:10:00,CANCELADA,166996,False
54,174,1,Goteo en tubo del lavamanos,MEDIA,39,2025-08-22 07:52:00,CANCELADA,92894,False
55,5,10,Da chispazos el tomacorriente de la caja,MEDIA,44,2025-05-19 16:28:00,CERRADA,287229,False
56,126,12,El computador no enciende después de apagón,BAJA,23,2025-04-27 15:45:00,ABIERTA,132382,False
57,86,9,Se levantó teja por viento y hay filtración,BAJA,50,2025-10-04 10:26:00,CERRADA,145931,True
58,57,11,La lavadora no exprime y hace ruido,MEDIA,10,2025-07-25 08:12:00,ABIERTA,149825,False
59,97,11,Se levantó teja por viento y hay filtración,MEDIA,7,2025-06-07 17:56:00,CERRADA,149825,False
60,85,7,Se tapó el sanitario y huele fuerte,MEDIA,38,2025-09-19 16:53:00,CERRADA,187686,False
61,157,2,Se tapó el sanitario y huele fuerte,MEDIA,28,2025-08-29 10:29:00,EN_PROCESO,159316,False
62,175,3,"Mudanza de apartamento, tercer piso sin ascensor",MEDIA,34,2025-05-10 06:29:00,EN_PROCESO,86347,False
63,11,4,La lavadora no exprime y hace ruido,BAJA,19,2025-07-23 06:03:00,ABIERTA,147350,False
64,65,3,"Mudanza de apartamento, tercer piso sin ascensor",MEDIA,23,2025-05-30 19:37:00,CERRADA,90912,False
65,21,5,La lavadora no exprime y hace ruido,ALTA,15,2025-08-10 09:57:00,ABIERTA,299500,False
66,67,5,"Necesito pintar sala y comedor, humedad en pared",MEDIA,39,2025-09-19 12:16:00,ABIERTA,154411,False
67,35,7,El computador no enciende después de apagón,ALTA,36,2025-09-10 18:50:00,ABIERTA,187686,False
68,112,2,"Necesito pintar sala y comedor, humedad en pared",BAJA,9,2025-08-21 19:29:00,ABIERTA,111371,False
69,108,7,La lavadora no exprime y hace ruido,ALTA,30,2025-05-16 15:50:00,CERRADA,163243,False
70,63,10,La lavadora no exprime y hace ruido,MEDIA,33,2025-05-26 06:29:00,ABIERTA,250499,True
71,196,9,Da chispazos el tomacorriente de la caja,ALTA,30,2025-07-18 09:52:00,ABIERTA,144562,False
72,75,10,Se levantó teja por viento y hay filtración,BAJA,31,2025-05-07 12:33:00,ABIERTA,250499,False
73,37,9,"Mudanza de apartamento, tercer piso sin ascensor",MEDIA,48,2025-04-25 12:07:00,ABIERTA,145931,False
74,18,1,Da chispazos el tomacorriente de la caja,BAJA,10,2025-08-23 22:28:00,CERRADA,164500,False
75,101,1,Se levantó teja por viento y hay filtración,MEDIA,8,2025-06-29 20:54:00,ABIERTA,164500,False
76,169,10,Goteo en tubo del lavamanos,MEDIA,8,2025-06-06 12:30:00,ABIERTA,277058,False
77,123,5,"Mudanza de apartamento, tercer piso sin ascensor",BAJA,19,2025-08-02 09:29:00,ABIERTA,182843,False
78,107,7,Se tapó el sanitario y huele fuerte,ALTA,10,2025-09-19 07:41:00,ABIERTA,155752,False
79,167,11,El computador no enciende después de apagón,MEDIA,40,2025-08-19 06:10:00,ABIERTA,230794,False
80,92,9,"Puerta no abre, cerradura dañada",ALTA,33,2025-10-08 17:41:00,ABIERTA,154752,False
81,185,10,"Mudanza de apartamento, tercer piso sin ascensor",MEDIA,22,2025-08-02 21:24:00,CERRADA,278930,False
82,121,10,"Necesito pintar sala y comedor, humedad en pared",ALTA,43,2025-09-21 17:37:00,EN_PROCESO,287229,False
83,159,7,Da chispazos el tomacorriente de la caja,ALTA,5,2025-08-29 21:20:00,ABIERTA,192509,False
84,195,4,"Puerta no abre, cerradura dañada",BAJA,50,2025-07-31 08:03:00,CERRADA,125865,False
85,157,5,"Necesito pintar sala y comedor, humedad en pared",ALTA,8,2025-09-26 06:59:00,CERRADA,134051,False
86,45,6,Se levantó teja por viento y hay filtración,BAJA,7,2025-06-14 14:31:00,ABIERTA,164276,False
87,113,11,Se levantó teja por viento y hay filtración,ALTA,19,2025-06-12 06:40:00,ABIERTA,144542,False
88,172,2,La lavadora no exprime y hace ruido,ALTA,14,2025-09-16 08:21:00,CERRADA,76825,False
89,48,11,Goteo en tubo del lavamanos,BAJA,47,2025-09-17 22:22:00,EN_PROCESO,82335,False
90,92,10,La lavadora no exprime y hace ruido,ALTA,36,2025-05-12 08:08:00,CERRADA,287808,False
91,133,5,"Necesito pintar sala y comedor, humedad en pared",ALTA,7,2025-04-29 15:59:00,ABIERTA,134051,False
92,65,7,Da chispazos el tomacorriente de la caja,MEDIA,46,2025-09-07 13:54:00,ABIERTA,170973,False
93,133,10,Da chispazos el tomacorriente de la caja,MEDIA,33,2025-09-20 14:41:00,ABIERTA,250499,False
94,8,1,Se tapó el sanitario y huele fuerte,MEDIA,22,2025-05-29 16:59:00,ABIERTA,79204,False
95,194,11,Da chispazos el tomacorriente de la caja,ALTA,4,2025-08-08 08:56:00,ABIERTA,139325,False
96,142,8,Se levantó teja por viento y hay filtración,MEDIA,9,2025-06-20 17:27:00,CERRADA,291966,True
97,123,5,Goteo en tubo del lavamanos,ALTA,15,2025-09-07 18:43:00,CERRADA,299500,False
98,176,12,"Puerta no abre, cerradura dañada",BAJA,2,2025-08-12 19:35:00,ABIERTA,154552,False
99,36,2,"Necesito pintar sala y comedor, humedad en pared",ALTA,29,2025-08-13 13:14:00,CERRADA,159316,False
100,24,10,Se tapó el sanitario y huele fuerte,ALTA,1,2025-06-26 08:03:00,ABIERTA,285022,False
101,33,8,Goteo en tubo del lavamanos,MEDIA,12,2025-07-07 18:30:00,ABIERTA,343484,False
102,169,2,"Necesito pintar sala y comedor, humedad en pared",ALTA,43,2025-06-19 15:23:00,ABIERTA,83188,False
103,200,9,Se levantó teja por viento y hay filtración,BAJA,19,2025-08-30 07:22:00,ABIERTA,141149,False
104,106,12,Se levantó teja por viento y hay filtración,MEDIA,40,2025-06-22 12:07:00,ABIERTA,178304,False
105,96,12,El computador no enciende después de apagón,ALTA,10,2025-05-23 21:53:00,CANCELADA,125999,False
106,9,5,La lavadora no exprime y hace ruido,BAJA,18,2025-08-28 18:24:00,ABIERTA,182843,True
107,114,1,"Mudanza de apartamento, tercer piso sin ascensor",ALTA,15,2025-05-02 17:59:00,ABIERTA,93442,False
108,7,10,Goteo en tubo del lavamanos,MEDIA,49,2025-05-01 19:55:00,CERRADA,293353,False
109,110,12,"Mudanza de apartamento, tercer piso sin ascensor",ALTA,48,2025-09-07 19:36:00,CERRADA,139129,False
110,185,10,Goteo en tubo del lavamanos,BAJA,50,2025-05-27 14:51:00,ABIERTA,293353,False
111,175,5,La lavadora no exprime y hace ruido,ALTA,6,2025-05-03 14:23:00,CERRADA,134051,False
112,69,11,"Necesito pintar sala y comedor, humedad en pared",BAJA,17,2025-06-30 20:29:00,CERRADA,144542,False
113,5,8,Se levantó teja por viento y hay filtración,MEDIA,1,2025-06-18 07:37:00,ABIERTA,261129,False
114,21,5,"Mudanza de apartamento, tercer piso sin ascensor",BAJA,40,2025-07-03 21:08:00,ABIERTA,154411,False
115,59,11,Se tapó el sanitario y huele fuerte,ALTA,12,2025-06-10 22:55:00,CERRADA,147798,False
116,113,10,"Mudanza de apartamento, tercer piso sin ascensor",ALTA,21,2025-06-28 17:34:00,EN_PROCESO,278930,True
117,184,1,Da chispazos el tomacorriente de la caja,ALTA,39,2025-09-01 13:13:00,ABIERTA,92894,False
118,84,10,"Puerta no abre, cerradura dañada",BAJA,24,2025-04-30 17:21:00,ABIERTA,278930,False
119,105,11,"Puerta no abre, cerradura dañada",MEDIA,24,2025-07-27 15:59:00,CERRADA,108446,False
120,39,10,Se levantó teja por viento y hay filtración,ALTA,2,2025-09-19 12:24:00,EN_PROCESO,285022,False
121,150,1,Goteo en tubo del lavamanos,BAJA,43,2025-09-15 19:34:00,ABIERTA,105115,False
122,188,2,Goteo en tubo del lavamanos,ALTA,34,2025-09-18 13:21:00,EN_PROCESO,93036,False
123,63,6,El computador no enciende después de apagón,MEDIA,15,2025-08-06 08:22:00,ABIERTA,176609,False
124,144,9,La lavadora no exprime y hace ruido,MEDIA,5,2025-06-21 10:59:00,EN_PROCESO,154438,False
125,138,4,"Mudanza de apartamento, tercer piso sin ascensor",MEDIA,50,2025-07-20 09:05:00,EN_PROCESO,125865,False
126,105,7,El computador no enciende después de apagón,ALTA,33,2025-04-27 09:26:00,EN_PROCESO,188576,False
127,68,9,La lavadora no exprime y hace ruido,MEDIA,46,2025-04-30 11:04:00,CERRADA,145931,False
128,34,9,Se levantó teja por viento y hay filtración,MEDIA,34,2025-06-24 09:21:00,CERRADA,154752,False
129,87,10,"Necesito pintar sala y comedor, humedad en pared",BAJA,39,2025-08-16 20:47:00,ABIERTA,287808,True
130,112,5,Se levantó teja por viento y hay filtración,MEDIA,49,2025-05-15 06:37:00,CERRADA,165807,False
131,152,6,Se levantó teja por viento y hay filtración,BAJA,44,2025-09-21 09:14:00,ABIERTA,143669,False
132,77,8,La lavadora no exprime y hace ruido,ALTA,22,2025-07-14 10:02:00,EN_PROCESO,542500,False
133,189,12,"Mudanza de apartamento, tercer piso sin ascensor",MEDIA,14,2025-06-05 15:17:00,EN_PROCESO,184088,True
134,125,8,Da chispazos el tomacorriente de la caja,ALTA,15,2025-06-22 14:09:00,ABIERTA,343484,False
135,25,4,Se tapó el sanitario y huele fuerte,BAJA,36,2025-09-09 12:00:00,CERRADA,112078,False
136,126,1,Se levantó teja por viento y hay filtración,ALTA,24,2025-05-26 15:58:00,ABIERTA,79204,False
137,29,12,Da chispazos el tomacorriente de la caja,ALTA,46,2025-05-29 09:22:00,ABIERTA,139129,False
138,21,12,"Mudanza de apartamento, tercer piso sin ascensor",BAJA,15,2025-08-18 22:43:00,ABIERTA,184088,False
139,199,2,Se levantó teja por viento y hay filtración,BAJA,46,2025-07-14 07:40:00,ABIERTA,94563,False
140,161,1,"Mudanza de apartamento, tercer piso sin ascensor",ALTA,16,2025-08-22 21:52:00,EN_PROCESO,74315,False
141,48,12,Goteo en tubo del lavamanos,MEDIA,32,2025-04-24 08:31:00,ABIERTA,178477,False
142,143,10,La lavadora no exprime y hace ruido,BAJA,14,2025-10-02 13:40:00,ABIERTA,289732,False
143,90,8,"Mudanza de apartamento, tercer piso sin ascensor",BAJA,34,2025-10-12 21:50:00,CANCELADA,338776,False
144,162,7,Da chispazos el tomacorriente de la caja,MEDIA,39,2025-07-06 20:20:00,EN_PROCESO,187686,True
145,64,11,"Necesito pintar sala y comedor, humedad en pared",ALTA,28,2025-10-19 10:49:00,ABIERTA,125261,False
146,124,8,Se levantó teja por viento y hay filtración,MEDIA,39,2025-06-18 07:35:00,EN_PROCESO,253654,False
147,198,6,La lavadora no exprime y hace ruido,BAJA,17,2025-08-04 07:17:00,ABIERTA,192484,False
148,125,12,La lavadora no exprime y hace ruido,MEDIA,15,2025-06-19 11:34:00,EN_PROCESO,184088,False
149,53,11,Se tapó el sanitario y huele fuerte,BAJA,8,2025-04-29 08:49:00,EN_PROCESO,149825,False
150,181,6,"Necesito pintar sala y comedor, humedad en pared",BAJA,23,2025-09-08 11:53:00,ABIERTA,149148,False
151,138,7,"Necesito pintar sala y comedor, humedad en pared",ALTA,46,2025-08-07 13:00:00,ABIERTA,170973,False
152,10,1,Se tapó el sanitario y huele fuerte,BAJA,49,2025-06-03 15:01:00,ABIERTA,88868,False
153,59,11,La lavadora no exprime y hace ruido,BAJA,50,2025-10-08 10:52:00,ABIERTA,82335,False
154,190,5,Se levantó teja por viento y hay filtración,ALTA,6,2025-09-25 09:47:00,ABIERTA,134051,True
155,151,7,Se tapó el sanitario y huele fuerte,BAJA,13,2025-07-10 20:12:00,CERRADA,154876,False
156,26,5,Goteo en tubo del lavamanos,BAJA,42,2025-08-06 14:30:00,ABIERTA,144732,False
157,73,12,La lavadora no exprime y hace ruido,BAJA,35,2025-07-28 09:28:00,ABIERTA,178477,False
158,58,10,Da chispazos el tomacorriente de la caja,MEDIA,2,2025-10-05 16:09:00,CERRADA,285022,False
159,162,2,Da chispazos el tomacorriente de la caja,BAJA,7,2025-05-30 21:33:00,ABIERTA,111371,False
160,186,10,"Mudanza de apartamento, tercer piso sin ascensor",ALTA,49,2025-07-19 07:20:00,ABIERTA,293353,False
161,177,10,Se levantó teja por viento y hay filtración,MEDIA,39,2025-08-27 21:20:00,CERRADA,287808,False
162,167,4,La lavadora no exprime y hace ruido,MEDIA,21,2025-10-20 18:08:00,CERRADA,135771,False
163,194,1,Da chispazos el tomacorriente de la caja,BAJA,11,2025-05-03 21:10:00,CERRADA,93442,False
164,161,9,"Mudanza de apartamento, tercer piso sin ascensor",ALTA,32,2025-05-24 15:46:00,CERRADA,154752,False
165,174,5,"Puerta no abre, cerradura dañada",MEDIA,34,2025-05-30 22:43:00,EN_PROCESO,144725,False
166,53,10,Goteo en tubo del lavamanos,MEDIA,46,2025-07-17 11:33:00,EN_PROCESO,293353,False
167,184,8,Se tapó el sanitario y huele fuerte,MEDIA,1,2025-07-12 12:12:00,ABIERTA,261129,False
168,178,2,"Puerta no abre, cerradura dañada",MEDIA,35,2025-05-11 13:22:00,ABIERTA,93036,False
169,161,1,"Mudanza de apartamento, tercer piso sin ascensor",MEDIA,13,2025-07-27 18:59:00,ABIERTA,93442,False
170,66,9,Da chispazos el tomacorriente de la caja,BAJA,35,2025-06-18 11:16:00,EN_PROCESO,154752,False
171,145,2,"Mudanza de apartamento, tercer piso sin ascensor",BAJA,9,2025-09-28 21:13:00,EN_PROCESO,111371,False
172,44,1,El computador no enciende después de apagón,ALTA,15,2025-04-24 08:57:00,ABIERTA,93442,False
173,14,3,Se levantó teja por viento y hay filtración,MEDIA,33,2025-05-24 18:24:00,ABIERTA,86347,False
174,199,7,Goteo en tubo del lavamanos,MEDIA,46,2025-06-05 14:45:00,ABIERTA,170973,False
175,37,7,Se levantó teja por viento y hay filtración,MEDIA,36,2025-08-13 17:11:00,ABIERTA,187686,False
176,7,6,Se levantó teja por viento y hay filtración,BAJA,30,2025-06-11 17:11:00,ABIERTA,166996,False
177,192,1,"Mudanza de apartamento, tercer piso sin ascensor",MEDIA,13,2025-07-17 17:58:00,ABIERTA,93442,True
178,65,9,La lavadora no exprime y hace ruido,BAJA,1,2025-05-05 14:17:00,ABIERTA,154438,False
179,161,1,El computador no enciende después de apagón,ALTA,37,2025-08-27 21:47:00,CERRADA,92894,False
180,166,9,"Puerta no abre, cerradura dañada",ALTA,7,2025-05-27 19:53:00,ABIERTA,171848,False
